Order_ID,From,To,Shipment_Date,Delivery_Date,Distance,Shipment_Cost,Order_Date
O074530,Hyderabad,Visakhapatnam,01-10-2023,04-10-2023,503,17130,01-10-2023
O074531,Patna,Patna,01-10-2023,02-10-2023,0,2540,01-10-2023
O074532,Bhopal,Bhopal,01-10-2023,02-10-2023,0,2960,01-10-2023
O074533,Chennai,Madurai,01-10-2023,04-10-2023,422,14851,01-10-2023
O074534,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2960,01-10-2023
O074535,Chennai,Chennai,01-10-2023,02-10-2023,0,2940,01-10-2023
O074536,Chennai,Coimbatore,01-10-2023,04-10-2023,427,15106,01-10-2023
O074537,Jaipur,Jaipur,01-10-2023,02-10-2023,0,2140,01-10-2023
O074538,Bangalore,Bangalore,01-10-2023,02-10-2023,0,2160,01-10-2023
O074539,Mumbai,Thane,01-10-2023,02-10-2023,19,2775,01-10-2023
O074540,Chennai,Madurai,01-10-2023,04-10-2023,422,15111,01-10-2023
O074541,Ahmedabad,Vadodara,01-10-2023,02-10-2023,101,4890,01-10-2023
O074542,Mumbai,Pune,01-10-2023,02-10-2023,120,5144,01-10-2023
O074543,Mumbai,Nagpur,01-10-2023,05-10-2023,688,21981,01-10-2023
O074544,Ranchi,Ranchi,01-10-2023,02-10-2023,0,2940,01-10-2023
O074545,Lucknow,Ghaziabad,01-10-2023,03-10-2023,399,13633,01-10-2023
O074546,Chandigarh,Gurgaon,01-10-2023,03-10-2023,254,9389,01-10-2023
O074547,Chennai,Madurai,01-10-2023,04-10-2023,422,15031,01-10-2023
O074548,Jaipur,Jaipur,01-10-2023,02-10-2023,0,2580,01-10-2023
O074549,Bhopal,Jabalpur,01-10-2023,03-10-2023,260,10402,01-10-2023
O074550,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2260,01-10-2023
O074551,Lucknow,Kanpur,01-10-2023,02-10-2023,75,3983,01-10-2023
O074552,Chennai,Vellore,01-10-2023,02-10-2023,125,5737,01-10-2023
O074553,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2220,01-10-2023
O074554,Mumbai,Aurangabad,01-10-2023,03-10-2023,273,10454,01-10-2023
O074555,Chennai,Vellore,01-10-2023,02-10-2023,125,5837,01-10-2023
O074556,Ahmedabad,Surat,01-10-2023,03-10-2023,208,9032,01-10-2023
O074557,Mumbai,Mumbai,01-10-2023,02-10-2023,0,2880,01-10-2023
O074558,Bangalore,Bangalore,01-10-2023,02-10-2023,0,2520,01-10-2023
O074559,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2440,01-10-2023
O074560,Lucknow,Lucknow,01-10-2023,02-10-2023,0,2820,01-10-2023
O074561,Bangalore,Bangalore,01-10-2023,02-10-2023,0,2560,01-10-2023
O074562,Chennai,Chennai,01-10-2023,02-10-2023,0,2320,01-10-2023
O074563,Hyderabad,Hyderabad,01-10-2023,02-10-2023,0,2740,01-10-2023
O074564,Mumbai,Thane,01-10-2023,02-10-2023,19,2615,01-10-2023
O074565,Chennai,Madurai,01-10-2023,04-10-2023,422,14971,01-10-2023
O074566,Mumbai,Mumbai,01-10-2023,02-10-2023,0,2160,01-10-2023
O074567,Ahmedabad,Ahmedabad,01-10-2023,02-10-2023,0,2840,01-10-2023
O074568,Lucknow,Lucknow,01-10-2023,02-10-2023,0,2280,01-10-2023
O074569,Mumbai,Mumbai,01-10-2023,02-10-2023,0,2460,01-10-2023
O074570,Bhopal,Bhopal,01-10-2023,02-10-2023,0,2600,01-10-2023
O074571,Mumbai,Mumbai,01-10-2023,02-10-2023,0,2420,01-10-2023
O074572,Mumbai,Aurangabad,01-10-2023,03-10-2023,273,10274,01-10-2023
O074573,Bhopal,Bhopal,01-10-2023,02-10-2023,0,2600,01-10-2023
O074574,Lucknow,Noida,01-10-2023,03-10-2023,397,13590,01-10-2023
O074575,Lucknow,Lucknow,01-10-2023,02-10-2023,0,2420,01-10-2023
O074576,Chennai,Vellore,01-10-2023,02-10-2023,125,5717,01-10-2023
O074577,Ahmedabad,Ahmedabad,01-10-2023,02-10-2023,0,2460,01-10-2023
O074578,Mumbai,Nagpur,01-10-2023,05-10-2023,688,21761,01-10-2023
O074579,Chennai,Salem,01-10-2023,03-10-2023,280,10368,01-10-2023
O074580,Mumbai,Thane,01-10-2023,02-10-2023,19,3335,01-10-2023
O074581,Ranchi,Ranchi,01-10-2023,02-10-2023,0,2520,01-10-2023
O074582,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2680,01-10-2023
O074583,Bhopal,Gwalior,01-10-2023,03-10-2023,338,12011,01-10-2023
O074584,Chennai,Coimbatore,01-10-2023,04-10-2023,427,14946,01-10-2023
O074585,Bhopal,Bhopal,01-10-2023,02-10-2023,0,2900,01-10-2023
O074586,Lucknow,Noida,01-10-2023,03-10-2023,397,12930,01-10-2023
O074587,Bangalore,Bangalore,01-10-2023,02-10-2023,0,2960,01-10-2023
O074588,Hyderabad,Hyderabad,02-10-2023,03-10-2023,0,3000,01-10-2023
O074589,Bhopal,Gwalior,01-10-2023,03-10-2023,338,11931,01-10-2023
O074590,Lucknow,Noida,01-10-2023,03-10-2023,397,12930,01-10-2023
O074591,Mumbai,Aurangabad,01-10-2023,03-10-2023,273,10074,01-10-2023
O074592,Hyderabad,Vijayawada,01-10-2023,03-10-2023,250,9905,01-10-2023
O074593,Ranchi,Jamshedpur,01-10-2023,02-10-2023,108,5341,01-10-2023
O074594,Chandigarh,Chandigarh,01-10-2023,02-10-2023,0,2500,01-10-2023
O074595,Ahmedabad,Ahmedabad,01-10-2023,02-10-2023,0,2640,01-10-2023
O074596,Chennai,Coimbatore,01-10-2023,04-10-2023,427,15426,01-10-2023
O074597,Bhopal,Gwalior,01-10-2023,03-10-2023,338,11811,01-10-2023
O074598,Ranchi,Ranchi,01-10-2023,02-10-2023,0,2740,01-10-2023
O074599,Hyderabad,Vijayawada,01-10-2023,03-10-2023,250,9385,01-10-2023
O074600,Ahmedabad,Ahmedabad,01-10-2023,02-10-2023,0,2220,01-10-2023
O074601,Bhopal,Indore,01-10-2023,02-10-2023,170,7133,01-10-2023
O074602,Patna,Patna,01-10-2023,02-10-2023,0,2300,01-10-2023
O074603,Jaipur,Jodhpur,01-10-2023,03-10-2023,285,11080,01-10-2023
O074604,Mumbai,Aurangabad,01-10-2023,03-10-2023,273,9874,01-10-2023
O074605,Lucknow,Ghaziabad,01-10-2023,03-10-2023,399,13193,01-10-2023
O074606,Jaipur,Jaipur,01-10-2023,02-10-2023,0,2320,01-10-2023
O074607,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2080,01-10-2023
O074608,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2120,01-10-2023
O074609,Hyderabad,Visakhapatnam,01-10-2023,04-10-2023,503,17370,01-10-2023
O074610,Chennai,Salem,01-10-2023,03-10-2023,280,10188,01-10-2023
O074611,Bhopal,Bhopal,01-10-2023,02-10-2023,0,2920,01-10-2023
O074612,Bhopal,Bhopal,01-10-2023,02-10-2023,0,2780,01-10-2023
O074613,Chennai,Salem,01-10-2023,03-10-2023,280,10888,01-10-2023
O074614,Kolkata,Kolkata,01-10-2023,02-10-2023,0,2320,01-10-2023
O074615,Bangalore,Bangalore,02-10-2023,03-10-2023,0,3000,01-10-2023
O074616,Ahmedabad,Vadodara,01-10-2023,02-10-2023,101,5030,01-10-2023
O074617,Ranchi,Ranchi,01-10-2023,02-10-2023,0,2120,01-10-2023
O074618,Chennai,Coimbatore,01-10-2023,04-10-2023,427,15606,01-10-2023
O074619,Mumbai,Thane,01-10-2023,02-10-2023,19,3455,01-10-2023
O074620,Ranchi,Jamshedpur,01-10-2023,02-10-2023,108,4701,01-10-2023
O074621,Raipur,Raipur,01-10-2023,02-10-2023,0,2380,01-10-2023
O074622,Hyderabad,Visakhapatnam,02-10-2023,05-10-2023,503,17570,01-10-2023
O074623,Bhopal,Jabalpur,01-10-2023,03-10-2023,260,10142,01-10-2023
O074624,Hyderabad,Hyderabad,01-10-2023,02-10-2023,0,2680,01-10-2023
O074625,Raipur,Raipur,01-10-2023,02-10-2023,0,2080,01-10-2023
O074626,Mumbai,Thane,01-10-2023,02-10-2023,19,2755,01-10-2023
O074627,Lucknow,Kanpur,01-10-2023,02-10-2023,75,3963,01-10-2023
O074628,Bhopal,Jabalpur,01-10-2023,03-10-2023,260,10462,01-10-2023
O074629,Ranchi,Dhanbad,01-10-2023,02-10-2023,122,5468,01-10-2023
O074630,Mumbai,Pune,01-10-2023,02-10-2023,120,5364,01-10-2023
O074631,Chandigarh,Gurgaon,01-10-2023,03-10-2023,254,9969,01-10-2023
O074632,Patna,Patna,01-10-2023,02-10-2023,0,2680,01-10-2023
O074633,Jaipur,Jaipur,01-10-2023,02-10-2023,0,2960,01-10-2023
O074634,Mumbai,Mumbai,01-10-2023,02-10-2023,0,2080,01-10-2023
O074635,Bhubaneswar,Bhubaneswar,01-10-2023,02-10-2023,0,2480,01-10-2023
O074636,Jaipur,Jaipur,01-10-2023,02-10-2023,0,2480,01-10-2023
O074637,Chennai,Vellore,01-10-2023,02-10-2023,125,5717,01-10-2023
O074638,Bangalore,Bangalore,01-10-2023,02-10-2023,0,2820,01-10-2023
O074639,Chandigarh,Gurgaon,01-10-2023,03-10-2023,254,10149,01-10-2023
O074640,Hyderabad,Hyderabad,01-10-2023,02-10-2023,0,2300,01-10-2023
O074641,Mumbai,Nagpur,01-10-2023,05-10-2023,688,21241,01-10-2023
O074642,Patna,Patna,01-10-2023,02-10-2023,0,2580,01-10-2023
O074643,Chennai,Salem,01-10-2023,03-10-2023,280,10788,01-10-2023
O074644,Chennai,Madurai,01-10-2023,04-10-2023,422,15231,01-10-2023
O074645,Mumbai,Thane,01-10-2023,02-10-2023,19,2575,01-10-2023
O074646,Raipur,Raipur,01-10-2023,02-10-2023,0,2360,01-10-2023
O074647,Chennai,Salem,01-10-2023,03-10-2023,280,10528,01-10-2023
O074648,Kolkata,Kolkata,01-10-2023,02-10-2023,0,2500,01-10-2023
O074649,Raipur,Raipur,01-10-2023,02-10-2023,0,2520,01-10-2023
O074650,Lucknow,Lucknow,01-10-2023,02-10-2023,0,2900,01-10-2023
O074651,Bangalore,Bangalore,01-10-2023,02-10-2023,0,2580,01-10-2023
O074652,Chennai,Madurai,01-10-2023,04-10-2023,422,15151,01-10-2023
O074653,Chandigarh,Chandigarh,01-10-2023,02-10-2023,0,2340,01-10-2023
O074654,Bhopal,Indore,01-10-2023,02-10-2023,170,6753,01-10-2023
O074655,Ahmedabad,Ahmedabad,01-10-2023,02-10-2023,0,2520,01-10-2023
O074656,Mumbai,Nagpur,01-10-2023,05-10-2023,688,21921,01-10-2023
O074657,Hyderabad,Vijayawada,01-10-2023,03-10-2023,250,10165,01-10-2023
O074658,Jaipur,Udaipur,01-10-2023,03-10-2023,335,11893,01-10-2023
O074659,Jaipur,Jodhpur,01-10-2023,03-10-2023,285,10120,01-10-2023
O074660,Hyderabad,Hyderabad,01-10-2023,02-10-2023,0,2520,01-10-2023
O074661,New Delhi,New Delhi,01-10-2023,02-10-2023,0,2760,01-10-2023
O074662,Jaipur,Jodhpur,01-10-2023,03-10-2023,285,11100,01-10-2023
O074663,Ahmedabad,Ahmedabad,01-10-2023,02-10-2023,0,2120,01-10-2023
O074664,Lucknow,Kanpur,01-10-2023,02-10-2023,75,4483,01-10-2023
O074665,Hyderabad,Vijayawada,01-10-2023,03-10-2023,250,10025,01-10-2023
O074666,Bhopal,Indore,01-10-2023,02-10-2023,170,7133,01-10-2023
O074667,Jaipur,Jodhpur,01-10-2023,03-10-2023,285,10420,01-10-2023
O074668,Chennai,Madurai,01-10-2023,04-10-2023,422,15431,01-10-2023
O074669,Lucknow,Noida,01-10-2023,03-10-2023,397,13030,01-10-2023
O074670,Mumbai,Nagpur,01-10-2023,05-10-2023,688,21641,01-10-2023
O074671,Ahmedabad,Ahmedabad,01-10-2023,02-10-2023,0,2220,01-10-2023
O074672,Ahmedabad,Surat,01-10-2023,03-10-2023,208,8252,01-10-2023
O074673,Lucknow,Noida,01-10-2023,03-10-2023,397,12930,01-10-2023
