Order_ID,Product_ID,Customer_ID,Quantity_Ordered,Order_Date,Warehouse_ID,Total_Cost,Total_COGs
O124489,P005,C1513,276,01-04-2024,W003,345000,265650
O124490,P004,C1702,201,01-04-2024,W015,301500,241200
O124491,P002,C0647,266,01-04-2024,W007,133000,93100
O124492,P003,C0754,259,01-04-2024,W003,129500,77700
O124493,P004,C0611,201,01-04-2024,W012,301500,241200
O124494,P004,C0702,213,01-04-2024,W014,319500,255600
O124495,P003,C0900,275,01-04-2024,W015,137500,82500
O124496,P002,C0558,225,01-04-2024,W014,112500,78750
O124497,P002,C1108,246,01-04-2024,W003,123000,86100
O124498,P003,C1738,271,01-04-2024,W012,135500,81300
O124499,P002,C0150,207,01-04-2024,W009,103500,72450
O124500,P003,C0445,269,01-04-2024,W015,134500,80700
O124501,P002,C1661,240,01-04-2024,W005,120000,84000
O124502,P002,C1494,203,01-04-2024,W002,101500,71050
O124503,P004,C1831,266,01-04-2024,W005,399000,319200
O124504,P002,C0163,287,01-04-2024,W004,143500,100450
O124505,P001,C1695,280,01-04-2024,W008,140000,106400
O124506,P003,C1973,205,01-04-2024,W009,102500,61500
O124507,P006,C0332,266,01-04-2024,W001,332500,252700
O124508,P005,C1177,224,01-04-2024,W004,280000,215600
O124509,P005,C0375,220,01-04-2024,W014,275000,211750
O124510,P002,C1103,284,01-04-2024,W003,142000,99400
O124511,P002,C0470,226,01-04-2024,W015,113000,79100
O124512,P006,C0131,251,01-04-2024,W015,313750,238450
O124513,P001,C1642,200,01-04-2024,W003,100000,76000
O124514,P006,C1565,293,01-04-2024,W010,366250,278350
O124515,P003,C0809,226,01-04-2024,W002,113000,67800
O124516,P005,C0087,297,01-04-2024,W015,371250,285862.5
O124517,P003,C1844,298,01-04-2024,W004,149000,89400
O124518,P002,C0756,230,01-04-2024,W009,115000,80500
O124519,P003,C1694,287,01-04-2024,W015,143500,86100
O124520,P004,C1451,295,01-04-2024,W004,442500,354000
O124521,P005,C0804,242,01-04-2024,W006,302500,232925
O124522,P003,C0267,267,01-04-2024,W012,133500,80100
O124523,P001,C0843,287,01-04-2024,W012,143500,109060
O124524,P005,C1638,214,01-04-2024,W003,267500,205975
O124525,P005,C1192,240,01-04-2024,W005,300000,231000
O124526,P001,C0840,296,01-04-2024,W004,148000,112480
O124527,P004,C0092,226,01-04-2024,W010,339000,271200
O124528,P004,C0813,249,01-04-2024,W010,373500,298800
O124529,P001,C1366,237,01-04-2024,W014,118500,90060
O124530,P006,C0120,217,01-04-2024,W013,271250,206150
O124531,P004,C0022,298,01-04-2024,W005,447000,357600
O124532,P001,C0050,223,01-04-2024,W008,111500,84740
O124533,P005,C0537,290,01-04-2024,W015,362500,279125
O124534,P001,C0717,257,01-04-2024,W002,128500,97660
O124535,P002,C0945,206,01-04-2024,W014,103000,72100
O124536,P004,C0640,242,01-04-2024,W015,363000,290400
O124537,P002,C1601,204,01-04-2024,W002,102000,71400
O124538,P004,C0552,281,01-04-2024,W004,421500,337200
O124539,P002,C0023,208,01-04-2024,W002,104000,72800
O124540,P003,C1137,254,01-04-2024,W012,127000,76200
O124541,P002,C1003,224,01-04-2024,W015,112000,78400
O124542,P006,C0315,271,01-04-2024,W011,338750,257450
O124543,P003,C0694,267,01-04-2024,W004,133500,80100
O124544,P003,C0782,212,01-04-2024,W010,106000,63600
O124545,P002,C0057,290,01-04-2024,W002,145000,101500
O124546,P006,C1407,202,01-04-2024,W006,252500,191900
O124547,P001,C1278,220,01-04-2024,W014,110000,83600
O124548,P004,C0358,239,01-04-2024,W014,358500,286800
O124549,P003,C1362,224,01-04-2024,W015,112000,67200
O124550,P003,C1269,250,01-04-2024,W004,125000,75000
O124551,P004,C0728,294,01-04-2024,W006,441000,352800
O124552,P002,C1382,214,01-04-2024,W006,107000,74900
O124553,P002,C1275,229,01-04-2024,W003,114500,80150
O124554,P006,C0220,257,01-04-2024,W004,321250,244150
O124555,P001,C0812,210,01-04-2024,W005,105000,79800
O124556,P001,C0051,280,01-04-2024,W015,140000,106400
O124557,P004,C1051,288,01-04-2024,W010,432000,345600
O124558,P005,C1398,223,01-04-2024,W002,278750,214637.5
O124559,P001,C1871,245,01-04-2024,W010,122500,93100
O124560,P004,C1579,236,01-04-2024,W004,354000,283200
O124561,P004,C1884,251,01-04-2024,W004,376500,301200
O124562,P001,C0534,216,01-04-2024,W011,108000,82080
O124563,P002,C0165,202,01-04-2024,W009,101000,70700
O124564,P002,C0585,266,01-04-2024,W002,133000,93100
O124565,P006,C1583,272,01-04-2024,W004,340000,258400
O124566,P004,C1764,231,01-04-2024,W003,346500,277200
O124567,P003,C1000,284,01-04-2024,W001,142000,85200
O124568,P001,C1552,300,01-04-2024,W003,150000,114000
O124569,P006,C0728,201,01-04-2024,W006,251250,190950
O124570,P005,C0421,287,01-04-2024,W011,358750,276237.5
O124571,P006,C1272,213,01-04-2024,W012,266250,202350
O124572,P002,C1667,211,01-04-2024,W003,105500,73850
O124573,P004,C0669,242,01-04-2024,W003,363000,290400
O124574,P006,C1211,215,01-04-2024,W011,268750,204250
O124575,P006,C1131,207,01-04-2024,W013,258750,196650
O124576,P005,C1950,261,01-04-2024,W009,326250,251212.5
O124577,P001,C0359,271,01-04-2024,W012,135500,102980
O124578,P005,C1505,294,01-04-2024,W005,367500,282975
O124579,P003,C1937,261,01-04-2024,W002,130500,78300
O124580,P001,C1371,213,01-04-2024,W011,106500,80940
O124581,P006,C1541,228,01-04-2024,W014,285000,216600
O124582,P006,C1713,230,01-04-2024,W004,287500,218500
O124583,P003,C0630,268,01-04-2024,W003,134000,80400
O124584,P001,C1695,278,01-04-2024,W008,139000,105640
O124585,P006,C0320,297,01-04-2024,W015,371250,282150
O124586,P004,C0105,260,01-04-2024,W003,390000,312000
O124587,P005,C0811,286,01-04-2024,W006,357500,275275
O124588,P003,C1918,218,01-04-2024,W010,109000,65400
O124589,P003,C0435,287,01-04-2024,W009,143500,86100
O124590,P002,C1041,215,01-04-2024,W003,107500,75250
O124591,P004,C0463,249,01-04-2024,W002,373500,298800
O124592,P004,C0057,251,01-04-2024,W002,376500,301200
O124593,P001,C1542,230,01-04-2024,W009,115000,87400
O124594,P001,C1214,234,01-04-2024,W015,117000,88920
O124595,P006,C1087,200,01-04-2024,W006,250000,190000
O124596,P006,C0677,242,01-04-2024,W012,302500,229900
O124597,P004,C0669,243,01-04-2024,W003,364500,291600
O124598,P002,C0999,244,01-04-2024,W014,122000,85400
O124599,P001,C0050,238,01-04-2024,W008,119000,90440
O124600,P005,C0743,300,01-04-2024,W006,375000,288750
O124601,P001,C0881,295,01-04-2024,W013,147500,112100
O124602,P001,C1037,256,01-04-2024,W014,128000,97280
O124603,P006,C1845,285,01-04-2024,W014,356250,270750
O124604,P005,C0681,228,01-04-2024,W010,285000,219450
O124605,P001,C1987,201,01-04-2024,W010,100500,76380
O124606,P004,C0797,252,01-04-2024,W015,378000,302400
O124607,P003,C0913,245,01-04-2024,W013,122500,73500
O124608,P001,C1726,242,01-04-2024,W012,121000,91960
O124609,P004,C1475,297,01-04-2024,W005,445500,356400
O124610,P003,C1210,270,01-04-2024,W013,135000,81000
O124611,P001,C1918,265,01-04-2024,W010,132500,100700
O124612,P003,C1554,230,01-04-2024,W002,115000,69000
O124613,P003,C1012,204,01-04-2024,W012,102000,61200
O124614,P005,C1095,279,01-04-2024,W015,348750,268537.5
O124615,P005,C1041,251,01-04-2024,W003,313750,241587.5
O124616,P001,C0054,280,01-04-2024,W002,140000,106400
O124617,P002,C0613,202,01-04-2024,W003,101000,70700
O124618,P002,C0149,217,01-04-2024,W013,108500,75950
O124619,P002,C1762,263,01-04-2024,W003,131500,92050
O124620,P003,C0185,224,01-04-2024,W002,112000,67200
O124621,P005,C1202,214,01-04-2024,W009,267500,205975
O124622,P004,C1640,248,01-04-2024,W002,372000,297600
O124623,P004,C0675,214,01-04-2024,W010,321000,256800
O124624,P001,C0848,278,01-04-2024,W004,139000,105640
O124625,P004,C0176,216,01-04-2024,W004,324000,259200
O124626,P002,C1455,242,01-04-2024,W015,121000,84700
O124627,P006,C1273,223,01-04-2024,W014,278750,211850
O124628,P001,C1992,242,01-04-2024,W013,121000,91960
O124629,P005,C1166,262,01-04-2024,W012,327500,252175
O124630,P003,C1545,242,01-04-2024,W015,121000,72600
O124631,P002,C0418,223,01-04-2024,W003,111500,78050
O124632,P002,C1314,236,01-04-2024,W014,118000,82600
O124633,P002,C0119,213,01-04-2024,W006,106500,74550
O124634,P004,C0464,229,01-04-2024,W013,343500,274800
O124635,P005,C0144,237,01-04-2024,W013,296250,228112.5
O124636,P006,C0875,297,01-04-2024,W002,371250,282150
O124637,P001,C1139,216,01-04-2024,W014,108000,82080
O124638,P003,C1369,203,01-04-2024,W015,101500,60900
O124639,P002,C1249,274,01-04-2024,W015,137000,95900
O124640,P003,C1203,266,01-04-2024,W010,133000,79800
O124641,P001,C0737,201,01-04-2024,W004,100500,76380
O124642,P004,C1402,271,01-04-2024,W010,406500,325200
O124643,P004,C0512,211,01-04-2024,W003,316500,253200
O124644,P004,C0871,214,01-04-2024,W002,321000,256800
O124645,P004,C0812,277,01-04-2024,W005,415500,332400
O124646,P002,C1075,207,01-04-2024,W010,103500,72450
O124647,P004,C0535,261,01-04-2024,W015,391500,313200
O124648,P001,C0160,214,01-04-2024,W008,107000,81320
O124649,P004,C0954,202,01-04-2024,W006,303000,242400
O124650,P004,C1706,220,01-04-2024,W001,330000,264000
O124651,P005,C1125,218,01-04-2024,W005,272500,209825
O124652,P002,C1430,290,01-04-2024,W014,145000,101500
O124653,P002,C0805,295,01-04-2024,W008,147500,103250
O124654,P003,C1938,272,01-04-2024,W014,136000,81600
O124655,P002,C1135,205,01-04-2024,W012,102500,71750
O124656,P005,C1669,261,01-04-2024,W015,326250,251212.5
O124657,P004,C1311,285,01-04-2024,W010,427500,342000
O124658,P002,C1800,206,01-04-2024,W011,103000,72100
O124659,P003,C0688,295,01-04-2024,W003,147500,88500
O124660,P001,C1157,294,01-04-2024,W012,147000,111720
O124661,P004,C1701,251,01-04-2024,W012,376500,301200
O124662,P004,C0239,243,01-04-2024,W002,364500,291600
O124663,P001,C1437,298,01-04-2024,W005,149000,113240
O124664,P005,C0867,219,01-04-2024,W002,273750,210787.5
O124665,P004,C0086,222,01-04-2024,W014,333000,266400
O124666,P001,C0463,253,01-04-2024,W002,126500,96140
O124667,P006,C0405,286,01-04-2024,W010,357500,271700
O124668,P003,C1989,266,01-04-2024,W004,133000,79800
O124669,P004,C0893,273,01-04-2024,W012,409500,327600
O124670,P002,C1968,219,01-04-2024,W015,109500,76650
O124671,P006,C1541,205,01-04-2024,W014,256250,194750
O124672,P003,C1071,271,01-04-2024,W010,135500,81300
O124673,P003,C0682,233,01-04-2024,W007,116500,69900
O124674,P004,C0944,233,01-04-2024,W005,349500,279600
O124675,P002,C1309,239,01-04-2024,W003,119500,83650
O124676,P002,C0033,217,01-04-2024,W005,108500,75950
O124677,P003,C0552,293,01-04-2024,W004,146500,87900
O124678,P003,C0950,241,01-04-2024,W009,120500,72300
O124679,P003,C1685,211,01-04-2024,W005,105500,63300
O124680,P006,C1528,299,01-04-2024,W002,373750,284050
O124681,P003,C1888,269,01-04-2024,W006,134500,80700
O124682,P004,C1264,261,01-04-2024,W010,391500,313200
O124683,P006,C0046,284,01-04-2024,W006,355000,269800
O124684,P004,C1241,213,01-04-2024,W010,319500,255600
O124685,P006,C0817,216,01-04-2024,W015,270000,205200
O124686,P004,C1165,289,01-04-2024,W013,433500,346800
O124687,P003,C1810,277,01-04-2024,W005,138500,83100
O124688,P003,C0161,264,01-04-2024,W006,132000,79200
O124689,P004,C0771,243,01-04-2024,W004,364500,291600
O124690,P004,C0359,287,01-04-2024,W012,430500,344400
O124691,P001,C0753,284,01-04-2024,W015,142000,107920
O124692,P001,C0107,243,01-04-2024,W002,121500,92340
O124693,P001,C1423,266,01-04-2024,W015,133000,101080
O124694,P006,C1228,277,01-04-2024,W015,346250,263150
O124695,P006,C0899,271,01-04-2024,W015,338750,257450
O124696,P004,C1256,255,01-04-2024,W010,382500,306000
