Supplier_ID,Supplier_Name,Supplier_State,Supplier_City,Product_ID,Manufacturing_Unit,Date
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3515,01-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4164,01-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4705,01_01_2024
S001,"Dara,_Bobal_and_Wable",Telangana,New_Delhi,P004,3371,01-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3434,01-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4283,01-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3904,02 01 2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4397,02-01-2024
S001,,Delhi,New_Delhi,P003,4670,02-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3876,02-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3414,02-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4630,02-01-2024
S001,"Dara,_Bobal_and_Wable",Telangana,New_Delhi,P001,4316,03-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3877,03-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4024,03-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4283,03_01_2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3687,03-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3404,03-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3598,04-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4129,04-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3872,04-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4754,04-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3046,04-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3084,04 01 2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4612,05-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4289,05-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4532,05-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3562,05-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4259,05-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3472,05-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3348,06-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4710,06-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3720,06-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4236,06-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4551,06-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4719,06-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3959,07-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4905,07-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3683,07_01_2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4226,07-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3446,07-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4185,07-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4097,08-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4301,08-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4037,08-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3432,08-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4500,08-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3879,08-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3469,09-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4939,09-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3332,09-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3938,09-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4290,09-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3401,09-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4207,10-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4674,10-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3653,10_01_2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3477,10-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3000,10-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3724,10-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3216,11-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4822,11-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3668,11-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3483,11-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4379,11-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3169,11-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3761,12-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4434,12-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4547,12-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4846,12-01-2024
S001,"Dara,_Bobal_and_Wable",Telangana,New_Delhi,P005,3902,12-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3053,12-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3250,13-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4926,13-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4863,13-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3759,13-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3805,13-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4760,13-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4336,14-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3892,14-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4903,14_01_2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4236,14_01_2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3977,14-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3393,14-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3584,15-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3554,15-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3294,15-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3678,15-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3853,15-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4977,15-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3153,16-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4067,16-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3798,16-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4281,16-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3600,16-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3734,16-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4352,17-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4589,17-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3254,17-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4360,17-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4356,17-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4600,17-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3458,18-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3202,18-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3605,18-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3219,18_01_2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4514,18-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3314,18-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3056,19-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4713,19-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3332,19-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3344,19-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3375,19-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4901,19-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3184,20-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3903,20-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3695,20-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4346,20-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4797,20-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4720,20-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4843,21-01-2024
S001,,Delhi,New_Delhi,P002,3366,21-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3305,21-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4726,21-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3754,21-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4777,21-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4769,2024-22-01
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4754,22-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3756,22-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3028,22-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3668,22-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3382,22-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4258,23-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3835,23-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4058,23-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3430,23-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3302,23-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3841,23-01-2024
S001,"Dara,_Bobal_and_Wable",Telangana,New_Delhi,P001,3504,24-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3275,24-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4249,24-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3212,24-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3573,24-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3167,24-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3473,25-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3067,25-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4932,25-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4862,25-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3040,25-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4515,25_01_2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3181,26-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3340,26-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3606,26-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4904,26-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3908,26-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3238,26-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,4775,27-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,4556,27-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3144,27-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4094,27-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,4156,27-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4511,27-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3403,28-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3309,28-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,3096,28-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4004,28-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3220,28-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,4952,28-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3974,29-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3613,29-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4587,29-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,4730,29-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P005,3000,29-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P006,3464,29-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P001,3083,30-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P002,3478,30-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P003,4533,30-01-2024
S001,"Dara,_Bobal_and_Wable",Delhi,New_Delhi,P004,3262,30-01-2024
S001,"Dara,_Bobal_and_Wable",Telangana,New_Delhi,P005,3253,30-01-2024
