Warehouse_ID,Warehouse_Location,Product_ID,Initial_Inventory,Remaining_Inventory,Date
W001,New Delhi,P001,653090,652841,01-07-2024
W002,Lucknow,P001,330588,329299,01-07-2024
W003,Chandigarh,P001,418319,417803,01-07-2024
W001,New Delhi,P002,655886,655886,01-07-2024
W002,Lucknow,P002,329311,328868,01-07-2024
W003,Chandigarh,P002,433052,432025,01-07-2024
W001,New Delhi,P003,651546,651345,01-07-2024
W002,New Delhi,P003,326492,325227,01-07-2024
W003,New Delhi,P003,414813,414095,01-07-2024
W001,New Delhi,P004,657845,657351,01-07-2024
W002,New Delhi,P004,310538,309025,01-07-2024
W003,New Delhi,P004,442581,442357,01-07-2024
W001,New Delhi,P005,643127,643127,01-07-2024
W002,New Delhi,P005,309139,308080,01-07-2024
W003,Chandigarh,P005,405804,404830,01-07-2024
W001,New Delhi,P006,668077,667839,01-07-2024
W002,Lucknow,P006,322180,320859,01-07-2024
W003,Chandigarh,P006,437896,436817,01-07-2024
W001,New Delhi,P001,653925,653417,02-07-2024
W002,Lucknow,P001,330382,329667,02 07 2024
W003,Chandigarh,P001,418886,417444,02-07-2024
W001,New Delhi,P002,657062,656790,02-07-2024
W002,Lucknow,P002,330044,328667,02-07-2024
W003,Chandigarh,P002,433200,432912,02-07-2024
W001,New Delhi,P003,652584,652359,02-07-2024
W002,Lucknow,P003,326466,324640,02-07-2024
W003,Chandigarh,P003,415334,414889,02-07-2024
W001,New Delhi,P004,658798,658286,02-07-2024
W002,Lucknow,P004,310472,310196,02-07-2024
W003,Chandigarh,P004,443804,443335,02-07-2024
W001,New Delhi,P005,644217,644217,02-07-2024
W002,Lucknow,P005,309170,308624,02-07-2024
W003,Chandigarh,P005,405920,405120,02-07-2024
W001,New Delhi,P006,669128,668840,02 07 2024
W002,Lucknow,P006,322148,321264,02-07-2024
W003,Chandigarh,P006,438105,437825,02-07-2024
W001,New Delhi,P001,654981,654689,03-07-2024
W002,Lucknow,P001,331230,330440,03-07-2024
W003,Chandigarh,P001,419007,418528,03-07-2024
W001,New Delhi,P002,658123,658123,03-07-2024
W002,Lucknow,P002,329999,328288,03-07-2024
W003,Chandigarh,P002,434244,433277,03-07-2024
W001,New Delhi,P003,653578,653283,03-07-2024
W002,Lucknow,P003,325859,325078,03-07-2024
W003,Chandigarh,P003,416108,415557,03-07-2024
W001,New Delhi,P004,659471,659202,03-07-2024
W002,Lucknow,P004,311381,311085,03-07-2024
W003,Chandigarh,P004,444520,443784,03-07-2024
W001,New Delhi,P005,645595,645087,03-07-2024
W002,Lucknow,P005,310002,308772,03-07-2024
W003,Chandigarh,P005,406497,405809,03-07-2024
W001,New Delhi,P006,670143,670143,03-07-2024
W002,Lucknow,P006,322566,320788,03-07-2024
W003,Chandigarh,P006,439127,437797,03-07-2024
W001,New Delhi,P001,655900,655308,04-07-2024
W002,Lucknow,P001,331650,330962,04-07-2024
W003,Chandigarh,P001,419738,419186,04-07-2024
W001,New Delhi,P002,659783,659517,04-07-2024
W002,Lucknow,P002,329948,328081,04 07 2024
W003,Chandigarh,P002,434936,433553,04-07-2024
W001,New Delhi,P003,654423,654423,04-07-2024
W002,Lucknow,P003,326218,325774,04-07-2024
W003,Chandigarh,P003,416697,415992,04-07-2024
W001,New Delhi,P004,660427,660427,04-07-2024
W002,Lucknow,P004,312310,311561,04-07-2024
W003,Chandigarh,P004,445009,444037,04-07-2024
W001,New Delhi,P005,646496,645966,04-07-2024
W002,Lucknow,P005,310180,309668,04-07-2024
W003,Chandigarh,P005,407217,405658,04-07-2024
W001,New Delhi,P006,671551,671033,04-07-2024
W002,Lucknow,P006,322196,321219,04-07-2024
W003,Chandigarh,P006,439205,438995,04-07-2024
W001,New Delhi,P001,656732,656503,05-07-2024
W002,Lucknow,P001,332386,331686,05-07-2024
W003,Chandigarh,P001,420610,420110,05-07-2024
W001,New Delhi,P002,661004,660741,05-07-2024
W002,Lucknow,P002,329568,327368,05-07-2024
W003,Chandigarh,P002,435040,434304,05-07-2024
W001,New Delhi,P003,655496,655004,05 07 2024
W002,Lucknow,P003,326847,325829,05-07-2024
W003,Chandigarh,P003,417064,415747,05-07-2024
W001,New Delhi,P004,661813,661813,05-07-2024
W002,Lucknow,P004,312947,311648,05-07-2024
W003,Chandigarh,P004,445422,444463,05-07-2024
W001,New Delhi,P005,647576,647285,05-07-2024
W002,Lucknow,P005,311278,310591,05-07-2024
W003,Chandigarh,P005,407267,407043,05-07-2024
W001,New Delhi,P006,672380,672107,05-07-2024
W002,Lucknow,P006,322566,322012,05-07-2024
W003,Chandigarh,P006,440342,439282,05-07-2024
W001,New Delhi,P001,657791,657791,06-07-2024
W002,Lucknow,P001,332973,332491,06-07-2024
W003,Chandigarh,P001,421397,420327,06-07-2024
W001,New Delhi,P002,661776,661776,06-07-2024
W002,Lucknow,P002,328402,327174,06-07-2024
W003,Chandigarh,P002,435338,434656,06-07-2024
W001,New Delhi,P003,656063,656063,06-07-2024
W002,Lucknow,P003,326888,326650,06-07-2024
W003,Chandigarh,P003,416806,416380,06-07-2024
W001,New Delhi,P004,662827,662536,06-07-2024
W002,Lucknow,P004,312662,311161,06 07 2024
W003,Chandigarh,P004,445477,444972,06-07-2024
W001,New Delhi,P005,648528,648258,06-07-2024
W002,Lucknow,P005,311834,309401,06-07-2024
W003,Chandigarh,P005,408286,407532,06-07-2024
W001,New Delhi,P006,673526,673045,06-07-2024
W002,Lucknow,P006,323431,322248,06-07-2024
W003,Chandigarh,P006,440701,439675,06-07-2024
W001,New Delhi,P001,659001,658705,07-07-2024
W002,Lucknow,P001,333700,332416,07-07-2024
W003,Chandigarh,P001,421536,421002,07-07-2024
W001,New Delhi,P002,662842,662421,07-07-2024
W002,Lucknow,P002,328240,327040,07-07-2024
W003,Chandigarh,P002,435722,435722,07-07-2024
W001,New Delhi,P003,657426,657426,07-07-2024
W002,Lucknow,P003,328012,326991,07-07-2024
W003,Chandigarh,P003,417742,416533,07-07-2024
W001,New Delhi,P004,664067,664067,07-07-2024
W002,Lucknow,P004,312692,311899,07-07-2024
W003,Chandigarh,P004,446502,446007,07-07-2024
W001,New Delhi,P005,649502,649502,07 07 2024
W002,Lucknow,P005,310645,309569,07-07-2024
W003,Chandigarh,P005,408775,407158,07-07-2024
W001,New Delhi,P006,674692,674425,07-07-2024
W002,Lucknow,P006,323895,323130,07-07-2024
W003,Chandigarh,P006,441322,440275,07-07-2024
W001,New Delhi,P001,659951,659951,08-07-2024
W002,Lucknow,P001,333662,332621,08-07-2024
W003,Chandigarh,P001,422248,420858,08-07-2024
W001,New Delhi,P002,663579,663373,08-07-2024
W002,Lucknow,P002,328198,326531,08-07-2024
W003,Chandigarh,P002,436879,436338,08-07-2024
W001,New Delhi,P003,658633,658633,08-07-2024
W002,Lucknow,P003,328198,326015,08-07-2024
W003,Chandigarh,P003,417740,417200,08-07-2024
W001,New Delhi,P004,665127,664849,08-07-2024
W002,Lucknow,P004,312959,312237,08 07 2024
W003,Chandigarh,P004,447066,446813,08-07-2024
W001,New Delhi,P005,650586,650048,08-07-2024
W002,Lucknow,P005,310653,309889,08-07-2024
W003,Chandigarh,P005,408242,407497,08-07-2024
W001,New Delhi,P006,676035,676035,08-07-2024
W002,Lucknow,P006,324740,324300,08-07-2024
W003,Chandigarh,P006,441885,441107,08-07-2024
W001,New Delhi,P001,661122,661122,09-07-2024
W002,Lucknow,P001,333792,331984,09-07-2024
W003,Chandigarh,P001,422028,421783,09-07-2024
W001,New Delhi,P002,664442,663881,09-07-2024
W002,Lucknow,P002,327600,325970,09-07-2024
W003,Chandigarh,P002,437407,437120,09-07-2024
W001,New Delhi,P003,659696,659401,09-07-2024
W002,Lucknow,P003,327078,325676,09-07-2024
W003,Chandigarh,P003,418262,417094,09-07-2024
W001,New Delhi,P004,666359,666359,09 07 2024
W002,Lucknow,P004,313746,312956,09-07-2024
W003,Chandigarh,P004,448322,447800,09-07-2024
W001,New Delhi,P005,651695,651402,09-07-2024
W002,Lucknow,P005,311536,310574,09-07-2024
W003,Chandigarh,P005,409144,407826,09-07-2024
W001,New Delhi,P006,677200,676904,09-07-2024
W002,Lucknow,P006,325465,325190,09-07-2024
W003,Chandigarh,P006,442272,442001,09-07-2024
W001,New Delhi,P001,662159,661863,10-07-2024
W002,Lucknow,P001,333021,332250,10-07-2024
W003,Chandigarh,P001,422819,422330,10-07-2024
W001,New Delhi,P002,665403,665403,10-07-2024
W002,Lucknow,P002,327492,327269,10-07-2024
W003,Chandigarh,P002,438642,437577,10-07-2024
W001,New Delhi,P003,660459,660459,10-07-2024
W002,Lucknow,P003,326734,325542,10-07-2024
W003,Chandigarh,P003,418152,416827,10 07 2024
W001,New Delhi,P004,667550,667550,10-07-2024
W002,Lucknow,P004,314146,312577,10-07-2024
W003,Chandigarh,P004,448990,448990,10-07-2024
W001,New Delhi,P005,653051,652829,10-07-2024
W002,Lucknow,P005,312223,311709,10-07-2024
W003,Chandigarh,P005,409475,408674,10-07-2024
W001,New Delhi,P006,678259,678259,10-07-2024
W002,Lucknow,P006,326545,326101,10-07-2024
W003,Chandigarh,P006,443355,443102,10-07-2024
W001,New Delhi,P001,663206,663206,11-07-2024
W002,Lucknow,P001,333592,332760,11-07-2024
W003,Chandigarh,P001,423672,422210,11-07-2024
W001,New Delhi,P002,667047,666790,11-07-2024
W002,Lucknow,P002,328913,327922,11-07-2024
W003,Chandigarh,P002,439221,437731,11-07-2024
W001,New Delhi,P003,661624,661167,11-07-2024
W002,Lucknow,P003,326707,324479,11-07-2024
W003,Chandigarh,P003,417992,417442,11-07-2024
W001,New Delhi,P004,669037,669037,11-07-2024
W002,Lucknow,P004,314064,313788,11-07-2024
W003,Chandigarh,P004,450476,448119,11-07-2024
W001,New Delhi,P005,654109,654109,11-07-2024
W002,Lucknow,P005,312989,312133,11-07-2024
W003,Chandigarh,P005,409953,409426,11-07-2024
W001,New Delhi,P006,679636,679636,11-07-2024
W002,Lucknow,P006,327478,326187,11-07-2024
W003,Chandigarh,P006,444479,443737,11-07-2024
W001,New Delhi,P001,664831,664831,12-07-2024
W002,Lucknow,P001,334384,333863,12-07-2024
W003,Chandigarh,P001,423834,423081,12-07-2024
W001,New Delhi,P002,667923,667647,12-07-2024
W002,Lucknow,P002,329055,327490,12-07-2024
W003,Chandigarh,P002,438864,438594,12-07-2024
W001,New Delhi,P003,662260,661970,12-07-2024
W002,Lucknow,P003,325572,324056,12-07-2024
W003,Chandigarh,P003,418534,417832,12-07-2024
W001,New Delhi,P004,670078,670078,12-07-2024
W002,Lucknow,P004,314829,313114,12-07-2024
W003,Chandigarh,P004,449160,448685,12-07-2024
W001,New Delhi,P005,655571,655571,12-07-2024
W002,Lucknow,P005,313594,312832,12-07-2024
W003,Chandigarh,P005,410887,409426,12-07-2024
W001,New Delhi,P006,681290,681060,12-07-2024
W002,Lucknow,P006,327840,325607,12-07-2024
W003,Chandigarh,P006,445390,444871,12-07-2024
W001,New Delhi,P001,666270,666016,13-07-2024
W002,Lucknow,P001,335301,333620,13-07-2024
W003,Chandigarh,P001,424519,423231,13-07-2024
W001,New Delhi,P002,668935,668935,13-07-2024
W002,Lucknow,P002,328778,327039,13-07-2024
W003,Chandigarh,P002,439882,439084,13-07-2024
W001,New Delhi,P003,663406,663406,13-07-2024
W002,Lucknow,P003,325492,323632,13-07-2024
W003,Chandigarh,P003,419267,418009,13-07-2024
W001,New Delhi,P004,671714,671714,13-07-2024
W002,Lucknow,P004,314750,314239,13-07-2024
W003,Chandigarh,P004,450321,449622,13-07-2024
W001,New Delhi,P005,656979,656979,13-07-2024
W002,Lucknow,P005,314240,313482,13-07-2024
W003,Chandigarh,P005,410834,409713,13-07-2024
W001,New Delhi,P006,682575,682334,13-07-2024
W002,Lucknow,P006,327121,326845,13-07-2024
W003,Chandigarh,P006,446385,445133,13-07-2024
W001,New Delhi,P001,667605,667168,14-07-2024
W002,Lucknow,P001,335209,334746,14-07-2024
W003,Chandigarh,P001,424819,424128,14-07-2024
W001,New Delhi,P002,670041,670041,14-07-2024
W002,Lucknow,P002,328144,326321,14-07-2024
W003,Chandigarh,P002,440189,439147,14-07-2024
W001,New Delhi,P003,664573,664573,14-07-2024
W002,Lucknow,P003,324799,323592,14-07-2024
W003,Chandigarh,P003,419176,418603,14-07-2024
W001,New Delhi,P004,672979,672979,14-07-2024
W002,Lucknow,P004,315503,314945,14-07-2024
W003,Chandigarh,P004,450886,449463,14-07-2024
W001,New Delhi,P005,658311,657762,14-07-2024
W002,Lucknow,P005,314813,312575,14-07-2024
W003,Chandigarh,P005,411044,409653,14-07-2024
W001,New Delhi,P006,683860,683860,14-07-2024
W002,Lucknow,P006,328371,327680,14-07-2024
W003,Chandigarh,P006,446659,445615,14-07-2024
W001,New Delhi,P001,668668,668668,15-07-2024
W002,Lucknow,P001,336245,335945,15-07-2024
W003,Chandigarh,P001,425627,424867,15-07-2024
W001,New Delhi,P002,671535,671535,15-07-2024
W002,Lucknow,P002,327815,326057,15-07-2024
W003,Chandigarh,P002,440640,440401,15-07-2024
W001,New Delhi,P003,666013,665586,15-07-2024
W002,Lucknow,P003,325032,324442,15-07-2024
W003,Chandigarh,P003,420043,420043,15-07-2024
W001,New Delhi,P004,674359,673889,15-07-2024
W002,Lucknow,P004,316324,315771,15-07-2024
